date,zipcode,energysource,city,energyusage [kWh],livingspace [m²],mean outside temperature [°C],roomnumber,emission factor [g/kWh],unitnumber
2019-12-31,29225,Erdgas,Celle,0.0,21.52,5.2,1,181.39,1
2020-01-01,29225,Erdgas,Celle,0.0,21.52,-1.6,1,181.39,1
2020-01-02,29225,Erdgas,Celle,0.01,21.52,-1.3,1,181.39,1
2020-01-03,29225,Erdgas,Celle,0.0,21.52,5.6,1,181.39,1
2020-01-04,29225,Erdgas,Celle,0.0,21.52,4.2,1,181.39,1
2020-01-05,29225,Erdgas,Celle,0.0,21.52,3.0,1,181.39,1
2020-01-06,29225,Erdgas,Celle,0.02,21.52,4.4,1,181.39,1
2020-01-07,29225,Erdgas,Celle,0.02,21.52,4.5,1,181.39,1
2020-01-08,29225,Erdgas,Celle,0.01,21.52,7.8,1,181.39,1
2020-01-09,29225,Erdgas,Celle,0.0,21.52,9.9,1,181.39,1
2020-01-10,29225,Erdgas,Celle,0.02,21.52,8.6,1,181.39,1
2020-01-11,29225,Erdgas,Celle,0.06,21.52,3.9,1,181.39,1
2020-01-12,29225,Erdgas,Celle,0.04,21.52,5.6,1,181.39,1
2020-01-15,29225,Erdgas,Celle,0.0,21.52,11.8,1,181.39,1
2020-01-16,29225,Erdgas,Celle,0.0,21.52,6.0,1,181.39,1
2020-01-20,29225,Erdgas,Celle,0.02,21.52,2.8,1,181.39,1
2020-01-21,29225,Erdgas,Celle,34.26,21.52,1.8,1,181.39,1
2020-01-22,29225,Erdgas,Celle,38.61,21.52,4.0,1,181.39,1
2020-01-23,29225,Erdgas,Celle,0.45,21.52,3.4,1,181.39,1
2020-01-24,29225,Erdgas,Celle,0.14,21.52,-1.4,1,181.39,1
2020-01-25,29225,Erdgas,Celle,0.06,21.52,0.7,1,181.39,1
2020-01-26,29225,Erdgas,Celle,0.05,21.52,1.5,1,181.39,1
2020-01-27,29225,Erdgas,Celle,0.0,21.52,5.6,1,181.39,1
2020-01-28,29225,Erdgas,Celle,0.0,21.52,5.2,1,181.39,1
2020-01-29,29225,Erdgas,Celle,0.01,21.52,4.2,1,181.39,1
2020-01-30,29225,Erdgas,Celle,0.0,21.52,7.0,1,181.39,1
2020-01-31,29225,Erdgas,Celle,0.0,21.52,11.0,1,181.39,1
2020-02-01,29225,Erdgas,Celle,0.0,21.52,11.0,1,181.39,1
2020-02-02,29225,Erdgas,Celle,0.0,21.52,7.3,1,181.39,1
2020-02-03,29225,Erdgas,Celle,0.0,21.52,8.1,1,181.39,1
2020-02-04,29225,Erdgas,Celle,0.02,21.52,5.0,1,181.39,1
